id,meldungsNummern,bezirk,betreff,erstellungsDatum,status,sachverhalt
527563,['ljf29'],Friedrichshain-Kreuzberg,Sperrmüll abgelagert (Spiegel),18.01.2017 - 15:01:09,In Bearbeitung,Spiegel
527575,['51cx6p'],Friedrichshain-Kreuzberg,Sperrmüll abgelagert (Holz-/Regalteile),18.01.2017 - 15:05:54,In Bearbeitung,Holz-/Regalteile
622944,['vf943l'],Lichtenberg,Park- und Haltverbot nicht berücksichtigt,11.04.2017 - 14:31:38,In Bearbeitung,Pkw in geschützter Grünanlage aufgefahren
681533,['pkyi2p'],Lichtenberg,Parken auf Gehweg,25.06.2017 - 13:09:47,In Bearbeitung,
788708,['9axrlt'],Lichtenberg,Abfall - Müllablagerung,27.10.2017 - 12:30:24,In Bearbeitung,Bauschutt
883168,['uaxhc1'],Reinickendorf,Gehweg/Radweg zugeparkt,23.02.2018 - 16:50:57,In Bearbeitung,
885548,['fn5am9'],Lichtenberg,Park- und Haltverbot nicht berücksichtigt,27.02.2018 - 21:12:00,In Bearbeitung,Kfz steht in der kurve. Mit plane abgedeckt. 
890996,['56ups1'],Reinickendorf,"Parkraumbewirtschaftung - Anwohner-, Gästevignetten",06.03.2018 - 22:12:36,In Bearbeitung,"ca. 13.22 Uhr

keine Vignette keine Parkscheibe 

"
950160,['ysxgxt'],Reinickendorf,Straßenaufsicht - Defekte Ampel,08.05.2018 - 16:30:29,In Bearbeitung,Rotlicht an Ampel K5 komplett erloschen. Ampel steht links im Gerlindeweg an der Ecke Friederikestraße (vom Wald her gesehen) 
1018325,['vgibr5'],Spandau,Parkraumbewirtschaftung - Sonstiges,12.07.2018 - 21:45:50,In Bearbeitung,Seit vier Tagen parkt in falscher Fahrtrichtung ein PKW Kz. PB..... gilt die StVO  nicht mehr ??
1020456,['4y9v5t'],Reinickendorf,Park- und Haltverbot nicht berücksichtigt,13.07.2018 - 23:34:12,In Bearbeitung,Fahrzeug parkt in zweiter Reihe ohne Sicherung 
1036907,['86fjsx'],Reinickendorf,Park- und Haltverbot nicht berücksichtigt,30.07.2018 - 16:13:12,In Bearbeitung,Parken im eingeschränkten Halteverbot auf Gehweg mit Behinderung anderer Verkehrsteilnehmer. 
1057377,['6rbi81'],Reinickendorf,"Parkraumbewirtschaftung - Anwohner-, Gästevignetten",18.08.2018 - 14:52:55,In Bearbeitung,"17.08. ca. 17 Uhr 

keine Vignette keine Parkscheibe 

Fahrzeug parkt entgegen der Fahrtrichtung Funktion der Rückstrahler nsch StVo nicht gegeben "
1060564,['bsd5a9'],Reinickendorf,Grünanlage/Park - Grillen,19.08.2018 - 15:04:57,In Bearbeitung,"Es fahren hier ständig Autos in den Park hinein ,Roller ebenfalls ?spricht Mann die betreffenden Personen darauf an wird gleich gedroht 
Die leute Grillen teilweise auf der Wiese und das bei der Trockenheit "
1066349,['pm4g01'],Lichtenberg,Abfall - Sperrmüll,27.08.2018 - 10:24:05,In Bearbeitung,
1142511,['5z73ep'],Lichtenberg,"Abfall - Bauabfälle, Bauschutt",05.10.2018 - 13:30:34,In Bearbeitung,"Vor ca. 4-6 Wochen gab es Elektroarbeiten in d.g. Str. Übrig blieben auf der Discounter Seite Reste vom Erdaushub, ggü. Reste vom Erdaushub abgelagert auf Baumscheibe, sowie ein angefahrener Pfosten."
1174363,['ct6sqp'],Lichtenberg,Park- und Haltverbot nicht berücksichtigt,03.11.2018 - 18:41:12,In Bearbeitung,KFZ parkt in der Kreuzung
1211122,['6awbgh'],Reinickendorf,"Parkraumbewirtschaftung - Anwohner-, Gästevignetten",08.12.2018 - 16:44:16,In Bearbeitung,keine Vignette keine Parkscheibe 
1359672,"['9v9xc1', 'ian0g1', 'mde4n5', 'xqidq9']",Friedrichshain-Kreuzberg,"Grünanlage/Park - Campieren, Zelten",27.04.2019 - 20:30:30,In Bearbeitung,"Sehr geehrte Damen und Herren 
Wir haben wieder ausländische gäste im Park,Da wir uns sicher sind das mehr wieder dazukommen,Bitten wir Sie wieder um kontrollen durchzuführen. Die Personen haben genug müll mittgebracht sowie gegenstände die daraus schlussfolgen das sich die Personen sich festsetzen,Da wir ja schon immer in den Park die Probleme haben ab den frühjahr,Es sind auch personen die wie ich weiß ein platzverweis bekommen haben.wir würden uns freuen wenn durch ihnen wieder die sicherheit und ordnung hergestellt wird, Mit freundlichen grüße die hausbewohner der helsingforser straße

weitere anonyme Meldung am 28.05.2019:
Sehr geehrte Damen und Herren,
leider müssen wir ihnen wieder mitteilen ,das wieder zelte aufgeschlagen sind drei an der zahl,ich mußte sonntag 2 polnische oder russische bürger aus unser verschlossenen grundstück rausschmeißen,wir bitten Sie das die zelte wieder geräumt werden bevor sich noch mehr dazu gesellen,mit freundlichen gruß bewohner helsingforser straße
"
1385974,['2vllkw'],Friedrichshain-Kreuzberg,Lärm - Gaststätte,17.05.2019 - 12:36:35,In Bearbeitung,Beschwerde über über nächtlichen Betrieb vorm Spätkauf Wrangelstraße Ecke Pücklerstraße
1406616,['jnrnr5'],Friedrichshain-Kreuzberg,Sondernutzung - Schankvorgärten (Tische und Stühle) KORI AND FAY,08.06.2019 - 18:58:18,In Bearbeitung,"Der Fußweg vor dem Thai-Sushi Restaurant ist durch Stühle & Tische so sehr beansprucht, dass es für Fußgänger (insbesondere Kinderwagen & Rollstuhlfahrer) so eng wird, dass man den „Gegenverkehr“ abwarten muss, dies gilt besonders auf Höhe des Briefkastens."
1423246,['22k2kh'],Friedrichshain-Kreuzberg,Parkraumbewirtschaftung - Sonstiges,24.06.2019 - 08:48:39,In Bearbeitung,Feuewehrstellfläche als auch -zufahrt zugeparkt
1441940,['m8ngn5'],Friedrichshain-Kreuzberg,"Grünanlage/Park - Campieren, Zelten",05.07.2019 - 14:28:44,In Bearbeitung,Es gibt ein aus Müll gebauten Haus mit Küche mit Holz- oder Gasfeuer.
1450097,['oo81z5'],Friedrichshain-Kreuzberg,Abfall - Sonstiges,15.07.2019 - 16:40:24,In Bearbeitung,Brandschaden vom 01.07.2019 wurde leider noch immer nicht beseitigt 
1450722,['ndmvwh'],Steglitz-Zehlendorf,"Parkraumbewirtschaftung - Ausnahme, Betriebsvignetten",16.07.2019 - 17:23:51,In Bearbeitung,"Sehr geehrte Damen und Herren,
in der Herfurhstraße in Steglitz stehen absolute Halteverbot Schilder die bis zum 15.07.2019 gültig waren. Nun wurde einfach ein neues Schild drüber geklebt und das Halteverbot ist nun bis zum 15.08.2019 verlängert.
Ist dies bei Ihnen beantragt ?"
1452230,"['qdbrb5', 'qvgxdt']",Steglitz-Zehlendorf,Straßenaufsicht - Wildwuchs von Privatgelände,18.07.2019 - 11:08:54,In Bearbeitung,Wildwuchs über dem Gehweg 
1454358,['eyhlc0'],Friedrichshain-Kreuzberg,Campieren,20.07.2019 - 15:37:59,In Bearbeitung,Meldung über einen Camper in einer geschützten Grünanlage
