item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_available
1,4,13,26541,803,48,0
4,1,75,14931,211,40,1
1,1,33,28823,1521,288,0
4,4,36,23307,1968,196,0
3,1,17,17672,294,0,0
4,3,61,3661,913,118,1
2,1,44,15960,693,83,0
1,3,10,12569,1328,106,0
2,4,50,25407,693,20,1
2,4,78,2285,293,11,0
3,3,70,19673,22,1,1
1,4,97,3400,605,72,0
1,1,45,14539,379,45,1
5,2,51,26801,362,61,0
3,1,21,20259,1494,89,0
1,4,98,16569,1468,132,1
3,1,76,17922,995,189,0
5,4,74,6863,1309,52,1
5,2,98,28577,689,124,1
1,2,87,19992,599,23,0
3,4,77,13592,1337,173,0
5,2,13,18483,1047,52,1
3,2,53,11697,817,65,1
1,4,99,11411,1732,173,1
3,4,23,27155,1129,203,1
2,2,25,16147,29,4,0
1,1,56,5112,697,111,0
1,3,73,23284,500,35,0
2,2,38,28765,1104,33,1
2,2,80,22591,308,43,1
3,2,35,21052,643,12,0
2,2,58,16933,1871,299,0
3,3,48,9418,487,58,0
2,2,57,16159,1167,46,0
4,3,95,31957,85,12,0
1,3,10,18827,658,111,1
4,4,77,25595,134,9,0
3,1,90,26051,1690,135,0
1,1,9,11324,856,42,0
2,2,39,6876,1541,107,0
5,1,28,21277,517,10,1
1,1,64,26840,1814,36,1
4,2,21,25453,1981,19,1
1,2,12,6174,1069,160,1
2,3,50,12122,1615,113,1
1,3,82,23972,373,29,1
5,1,95,27267,1240,37,1
5,3,76,2973,844,151,0
2,4,87,30712,1197,155,1
4,1,0,6620,448,44,0
5,4,88,17593,846,93,0
4,2,74,14168,1698,33,1
4,2,11,17669,138,11,1
1,3,99,17521,534,101,1
1,4,83,17422,1945,272,0
3,1,81,22628,1041,83,1
2,1,49,21395,1694,220,1
3,4,77,25969,1714,17,1
4,4,66,8921,193,27,1
5,4,32,23373,688,48,0
2,3,19,7984,126,6,0
4,1,17,6601,1144,183,0
4,1,29,11891,235,9,0
5,2,51,16040,1921,0,0
1,2,28,31410,1414,98,1
5,4,93,10003,22,0,0
3,2,37,13980,1470,161,0
1,3,44,10667,1955,78,0
5,4,10,29313,1436,43,1
3,1,10,4642,204,24,0
4,1,35,19018,1768,229,1
4,4,21,23462,296,5,0
2,4,42,29880,371,51,0
3,2,98,11551,1982,257,0
2,4,86,3448,1710,273,0
3,4,81,13920,560,78,1
2,1,62,8873,1483,163,0
2,3,90,20784,294,29,1
3,2,82,10075,62,5,1
4,2,16,3459,1564,265,0
4,4,5,13708,158,30,0
1,3,99,25196,1006,0,1
3,4,23,10767,18,0,0
2,3,70,23022,1174,164,0
2,2,34,2914,596,29,1
5,4,85,1078,1926,231,1
4,3,68,28432,372,33,1
2,2,26,28558,696,90,1
5,1,51,3863,140,19,1
3,3,25,30727,538,75,0
3,4,65,23702,983,78,1
2,4,29,25892,415,37,1
5,4,59,27570,1281,179,0
1,1,33,70,1490,149,0
5,4,92,656,318,0,0
4,2,84,21170,666,6,0
3,3,14,8255,691,76,1
3,4,47,24223,1310,13,0
5,4,55,10969,400,40,1
2,1,43,21660,1504,120,0
4,2,15,6735,1304,143,0
4,1,4,13698,205,10,0
3,1,6,19813,759,60,0
4,1,51,18106,491,9,1
2,1,3,25299,1781,160,1
4,2,1,2312,667,73,0
4,1,60,22320,1614,80,0
5,4,22,31533,817,0,1
3,1,82,24756,291,23,1
4,2,7,4660,582,23,1
1,1,39,621,181,3,1
2,1,3,24945,525,26,0
1,4,84,12622,1848,295,0
4,2,19,3660,662,39,1
3,4,93,18358,5,0,0
1,4,70,19783,1062,159,0
4,2,61,21939,1155,150,1
4,3,31,24928,1074,32,0
4,4,91,1410,371,51,1
4,2,50,20422,764,30,1
5,4,12,27750,1934,367,0
3,1,55,30591,272,51,0
2,1,24,11518,1746,209,0
3,4,71,10565,1544,92,0
5,1,20,14190,1013,111,0
1,2,85,4550,116,1,0
5,3,81,30147,194,3,1
4,1,79,18107,1771,283,0
5,2,87,5511,46,8,0
2,2,83,7348,1256,188,0
1,1,63,27916,1570,141,1
5,2,22,15705,813,105,0
2,4,35,17330,1971,197,0
4,4,59,10802,1480,118,0
3,4,71,26592,1838,312,0
3,1,32,22203,1373,260,0
1,4,54,18961,1655,99,0
4,2,29,31057,1467,176,0
3,3,70,7755,347,6,1
2,2,87,26917,1190,59,1
5,3,21,16512,366,65,0
4,4,1,1196,131,15,1
1,3,23,10558,1823,18,0
4,4,45,7012,1426,57,0
5,4,14,3848,761,53,1
2,1,73,11814,368,22,0
4,2,75,465,908,145,0
1,1,41,4657,947,18,0
5,2,75,23495,15,2,0
1,2,36,9991,631,12,1
3,4,6,17831,1774,53,0
2,2,57,3721,266,47,1
2,4,24,15048,1216,206,1
5,1,76,22734,724,0,0
2,1,14,9864,1752,175,1
1,2,89,31371,1375,261,0
5,3,71,7298,1963,157,1
2,1,39,3761,1238,198,1
1,2,92,16313,81,14,0
1,4,56,6911,130,10,1
1,4,31,16848,1876,262,1
3,2,12,18625,90,4,1
1,4,61,3930,538,5,0
1,1,16,31756,641,89,1
2,4,93,21971,1969,236,1
4,3,15,27125,1489,0,1
2,2,23,7439,1058,95,0
4,3,30,12808,1076,43,0
4,1,50,25332,1203,228,1
3,4,34,19983,1838,18,0
4,2,6,18487,186,24,1
1,2,22,25102,1037,134,1
1,4,10,1421,1089,152,0
3,4,70,6945,511,66,1
2,2,7,28042,1749,262,0
5,2,43,4480,1361,95,1
2,3,23,25596,1370,13,1
2,4,43,6770,1306,13,0
5,3,24,23912,1990,99,0
3,1,9,19272,1062,191,0
4,3,37,29760,254,2,1
2,3,99,14651,384,61,1
1,2,67,15919,1263,239,1
3,1,99,30087,1540,123,0
5,2,41,18304,1077,193,0
4,2,50,25141,756,90,1
1,2,44,4427,204,6,1
1,4,4,20304,1065,42,1
2,4,93,19375,450,45,0
2,2,20,261,1824,72,0
2,3,10,8716,1354,135,0
4,2,83,1520,1203,84,0
2,2,47,27267,426,59,1
5,2,47,9708,477,28,0
2,3,83,18095,1194,167,0
4,4,29,13268,976,136,1
3,4,26,13143,565,45,0
4,2,50,19519,1770,177,1
1,2,72,2434,791,23,0
4,1,28,10174,637,6,0
2,2,83,11710,41,1,0
3,1,89,4848,814,24,1
