item_name-item_category,item_condition,item_postcode,item_status,user_lat_lng,userwhochangeditemstatus_id,item_datetime_posted,item_datetimechangeditemstatus,item_id
shoes-manshoes,medium_conditionbad_condition,10439,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757ee0>],438,2023-02-22,2023-02-22,1
furniture-cabinet,good_condition,12683,not_available,[<shapely.geometry.point.Point object at 0x7fb731135390>],799,2023-02-25,2023-02-26,2
clothes-child_clothes,medium_conditionbad_condition,12683,avaliable,[<shapely.geometry.point.Point object at 0x7fb731135000>],189,2023-02-25,2023-02-26,3
appliance-refrigerator,good_condition,14199,not_available,[<shapely.geometry.point.Point object at 0x7fb730092770>],93,2023-02-23,2023-02-25,4
appliance-vacuum_cleaner,medium_conditionbad_condition,13627,avaliable,[<shapely.geometry.point.Point object at 0x7fb731134dc0>],440,2023-02-21,2023-02-24,5
appliance-vacuum_cleaner,good_condition,13627,not_available,[<shapely.geometry.point.Point object at 0x7fb731029120>],88,2023-02-24,2023-02-24,6
appliance-dish_washer,good_condition,12207,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757880>],518,2023-02-20,2023-02-26,7
tech-laptop,medium_conditionbad_condition,10369,not_available,[<shapely.geometry.point.Point object at 0x7fb730757e20>],62,2023-02-23,2023-02-23,8
lighting-chandelier,good_condition,12351,not_available,[<shapely.geometry.point.Point object at 0x7fb731028730>],488,2023-02-23,2023-02-26,9
shoes-manshoes,medium_conditionbad_condition,10787,not_available,[<shapely.geometry.point.Point object at 0x7fb730755cf0>],428,2023-02-22,2023-02-24,10
furniture-bookcase,medium_conditionbad_condition,13437,not_available,[<shapely.geometry.point.Point object at 0x7fb730757c70>],74,2023-02-23,2023-02-23,11
miscelaneaous-carpet,good_condition,12353,not_available,[<shapely.geometry.point.Point object at 0x7fb730757e50>],933,2023-02-19,2023-02-25,12
furniture-shoe_rack,good_condition,13589,not_available,[<shapely.geometry.point.Point object at 0x7fb7307546d0>],396,2023-02-23,2023-02-23,13
clothes-child_jacket,medium_conditionbad_condition,12109,not_available,[<shapely.geometry.point.Point object at 0x7fb730756230>],972,2023-02-21,2023-02-23,14
tech-desktop,medium_conditionbad_condition,13599,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756290>],656,2023-02-20,2023-02-22,15
miscelaneaous-baby_carriage,medium_conditionbad_condition,14129,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754d90>],778,2023-02-20,2023-02-20,16
lighting-chandelier,good_condition,14199,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754a00>],41,2023-02-20,2023-02-24,17
furniture-bedside_table,good_condition,13059,not_available,[<shapely.geometry.point.Point object at 0x7fb7307562c0>],297,2023-02-20,2023-02-21,18
musical_equipment-sound_amplifier,good_condition,14129,not_available,[<shapely.geometry.point.Point object at 0x7fb730754d30>],790,2023-02-20,2023-02-25,19
appliance-extractor_hood,good_condition,12159,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754fd0>],1000,2023-02-20,2023-02-25,20
musical_equipment-piano,good_condition,10315,not_available,[<shapely.geometry.point.Point object at 0x7fb730754f70>],713,2023-02-21,2023-02-24,21
furniture-bed,medium_conditionbad_condition,10315,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754b50>],144,2023-02-21,2023-02-22,22
musical_equipment-sound_amplifier,medium_conditionbad_condition,13347,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756ef0>],857,2023-02-24,2023-02-26,23
appliance-extractor_hood,good_condition,12307,not_available,[<shapely.geometry.point.Point object at 0x7fb730754f40>],931,2023-02-23,2023-02-25,24
musical_equipment-sound_amplifier,medium_conditionbad_condition,13407,not_available,[<shapely.geometry.point.Point object at 0x7fb730755090>],810,2023-02-25,2023-02-25,25
miscelaneaous-ski_skates,medium_conditionbad_condition,12279,not_available,[<shapely.geometry.point.Point object at 0x7fb730754c40>],167,2023-02-21,2023-02-23,26
miscelaneaous-roller_skates,good_condition,12621,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307551b0>],900,2023-02-20,2023-02-26,27
furniture-cabinet,medium_conditionbad_condition,10405,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755000>],301,2023-02-20,2023-02-26,28
furniture-sofafurniture-armchair,good_condition,10247,not_available,[<shapely.geometry.point.Point object at 0x7fb730755180>],334,2023-02-22,2023-02-24,29
appliance-stove,medium_conditionbad_condition,12459,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755660>],744,2023-02-21,2023-02-22,30
tech-phone,medium_conditionbad_condition,14057,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755690>],365,2023-02-21,2023-02-22,31
furniture-sofafurniture-armchair,good_condition,13437,not_available,[<shapely.geometry.point.Point object at 0x7fb730755720>],553,2023-02-23,2023-02-23,32
furniture-cabinet,medium_conditionbad_condition,10967,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755780>],284,2023-02-24,2023-02-24,33
appliance-blender,medium_conditionbad_condition,12347,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307556f0>],61,2023-02-21,2023-02-24,34
appliance-extractor_hood,good_condition,10319,not_available,[<shapely.geometry.point.Point object at 0x7fb730755b70>],490,2023-02-20,2023-02-24,35
appliance-extractor_hood,good_condition,13627,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755ba0>],955,2023-02-21,2023-02-21,36
musical_equipment-guitar,medium_conditionbad_condition,13593,not_available,[<shapely.geometry.point.Point object at 0x7fb7307554e0>],506,2023-02-21,2023-02-21,37
tech-laptop,medium_conditionbad_condition,13583,not_available,[<shapely.geometry.point.Point object at 0x7fb7307554b0>],253,2023-02-22,2023-02-26,38
miscelaneaous-plant,good_condition,14089,not_available,[<shapely.geometry.point.Point object at 0x7fb730755450>],297,2023-02-21,2023-02-22,39
furniture-bedside_table,good_condition,10437,not_available,[<shapely.geometry.point.Point object at 0x7fb730755510>],160,2023-02-20,2023-02-22,40
appliance-coffee_machine,good_condition,10365,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755540>],47,2023-02-21,2023-02-24,41
miscelaneaous-carpet,good_condition,12349,not_available,[<shapely.geometry.point.Point object at 0x7fb730755570>],648,2023-02-20,2023-02-25,42
appliance-drying_rack,good_condition,12685,not_available,[<shapely.geometry.point.Point object at 0x7fb7307555a0>],601,2023-02-21,2023-02-26,43
appliance-extractor_hood,good_condition,13059,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755330>],820,2023-02-24,2023-02-24,44
musical_equipment-contrabass,medium_conditionbad_condition,12689,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307550c0>],849,2023-02-23,2023-02-24,45
musical_equipment-piano,medium_conditionbad_condition,14109,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307557e0>],780,2023-02-21,2023-02-26,46
shoes-woman_shoes,good_condition,14193,not_available,[<shapely.geometry.point.Point object at 0x7fb730754df0>],221,2023-02-22,2023-02-24,47
miscelaneaous-bicycle,good_condition,12489,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756650>],154,2023-02-23,2023-02-26,48
appliance-sandwich_maker,medium_conditionbad_condition,12621,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756d70>],397,2023-02-21,2023-02-25,49
miscelaneaous-baby_carriage,medium_conditionbad_condition,10777,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755ea0>],783,2023-02-20,2023-02-25,50
furniture-bedside_table,medium_conditionbad_condition,10717,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754ac0>],257,2023-02-25,2023-02-25,51
