item_category,item_condition,item_postcode,item_available_timer,distance,n_views,n_likes,item_available
kids,like_new,12109,64,15611,350,3,0
furniture,acceptable,10789,40,5993,348,13,1
kitchen_utensils,good,13627,20,27122,1310,117,1
kitchen_utensils,good,13505,30,10484,205,36,1
kitchen_utensils,good,10405,61,11845,1740,191,1
kids,poor,14163,50,20757,282,11,0
furniture,poor,12305,92,29867,881,0,0
kitchen_utensils,acceptable,10365,46,11163,47,7,0
kids,poor,10247,55,4696,1480,266,1
kids,acceptable,13158,10,30954,1699,322,1
furniture,poor,13467,81,12904,712,113,1
kids,acceptable,10369,63,18579,334,50,1
clothes,good,12527,85,1720,539,48,1
other,like_new,13503,55,7894,499,19,0
furniture,acceptable,12101,77,11103,493,34,1
furniture,poor,12353,46,14932,1233,61,0
clothes,poor,13591,85,21424,502,10,0
furniture,poor,10365,8,19451,160,30,1
other,like_new,14050,99,18278,733,29,0
other,good,13053,36,20498,1972,335,1
kitchen_utensils,like_new,10119,44,19372,44,7,0
furniture,like_new,10555,41,1366,641,108,1
furniture,poor,10711,98,30625,106,8,1
kitchen_utensils,good,10827,97,15057,1633,48,0
other,acceptable,12107,14,20292,1958,234,0
furniture,acceptable,12043,12,11091,682,88,0
furniture,good,10435,31,433,38,3,1
kids,acceptable,12307,61,25247,791,150,0
kids,acceptable,13349,96,18626,1659,199,1
kids,good,12526,44,27386,421,12,0
kitchen_utensils,poor,10717,67,16071,963,105,0
other,poor,13409,10,21494,1236,185,0
furniture,like_new,12527,70,22171,1114,211,1
clothes,acceptable,14055,63,20254,1711,273,1
kids,like_new,10777,33,31686,476,90,0
other,poor,13465,3,16443,1404,0,1
clothes,good,13589,84,24725,1359,122,1
kitchen_utensils,acceptable,12249,18,17107,1880,357,0
kids,poor,13159,70,28523,1357,189,0
clothes,like_new,12307,42,21655,606,96,1
other,like_new,10777,53,27960,836,75,0
kids,acceptable,13469,1,19167,1675,100,1
kitchen_utensils,good,13158,29,22991,1303,130,0
kitchen_utensils,acceptable,12247,80,31012,88,8,1
kids,poor,14053,47,22500,1883,131,0
furniture,good,10178,74,16667,2,0,1
kitchen_utensils,good,10557,2,7308,219,17,1
furniture,poor,13159,42,13453,1374,41,1
clothes,acceptable,12689,20,6830,483,91,1
furniture,like_new,13465,56,9265,1134,158,1
kids,acceptable,12623,82,30474,1786,178,0
clothes,poor,12459,85,8207,1532,168,0
other,poor,12307,34,9380,752,82,0
kids,like_new,12459,53,22671,1258,125,1
kids,poor,13055,6,14096,1397,0,0
furniture,good,12689,92,29167,1126,135,1
kids,good,10315,7,21915,1461,204,0
clothes,acceptable,12349,50,10182,767,76,1
clothes,good,12105,46,26611,75,2,1
furniture,poor,14109,9,9067,1388,166,1
kids,poor,14129,64,15373,1734,121,0
furniture,acceptable,10829,27,5460,636,114,0
kitchen_utensils,poor,12435,82,26855,1882,0,1
clothes,poor,12619,17,5009,244,0,0
furniture,like_new,12349,82,2322,1311,65,0
furniture,like_new,10629,20,16752,1074,32,0
kitchen_utensils,good,12103,76,15494,351,24,1
other,good,13469,20,12394,324,9,0
kitchen_utensils,good,12347,87,4640,1278,166,1
furniture,like_new,10585,89,18647,2000,300,0
other,good,13359,85,22,417,54,0
furniture,good,12487,74,29946,1428,271,0
clothes,acceptable,13587,26,12095,1856,111,1
clothes,good,13581,30,15464,332,13,0
furniture,acceptable,13581,44,4792,230,41,1
clothes,poor,12623,64,24377,1989,258,1
kitchen_utensils,poor,10787,47,3717,794,63,1
furniture,poor,10707,36,894,540,54,1
furniture,like_new,10249,0,22198,1139,159,1
other,like_new,12055,80,20323,705,126,1
kitchen_utensils,acceptable,12109,34,1915,521,5,1
other,acceptable,12559,97,7269,144,0,0
furniture,poor,10435,51,4246,1697,271,1
other,like_new,12524,71,21720,521,93,1
other,poor,12359,74,13341,1122,67,1
furniture,acceptable,12351,32,1330,303,42,1
kitchen_utensils,poor,12683,37,20645,1592,222,0
kids,acceptable,10715,92,30239,1828,0,1
furniture,like_new,12203,91,9044,997,109,0
kitchen_utensils,acceptable,10627,19,30772,1875,18,1
other,acceptable,10435,57,26531,1118,201,0
other,acceptable,13581,82,8047,1578,157,1
other,acceptable,12437,52,30406,1098,186,1
clothes,poor,13051,79,19354,627,56,1
kitchen_utensils,good,10719,35,9232,388,58,0
kids,acceptable,10585,25,11541,1994,299,1
kids,poor,10119,7,14225,842,101,1
furniture,acceptable,12109,38,30966,79,9,0
furniture,like_new,12589,86,19381,1829,0,0
other,good,12359,30,16421,1979,356,0
kids,acceptable,13629,75,17672,1726,276,1
kids,good,12207,45,10067,128,12,0
other,good,12685,26,22839,927,129,0
other,like_new,13587,81,9503,950,57,1
other,poor,12205,10,2544,262,31,1
kitchen_utensils,poor,10559,77,1085,778,77,0
furniture,good,10249,49,26743,1163,209,1
kitchen_utensils,like_new,12589,69,22161,316,60,1
kitchen_utensils,like_new,13057,9,4049,1229,184,0
clothes,poor,12161,92,21481,1362,95,1
furniture,poor,10317,86,9535,1561,296,0
clothes,like_new,10623,47,7114,1880,75,0
kitchen_utensils,poor,10585,24,17173,1852,296,0
kitchen_utensils,like_new,13355,57,11187,637,19,1
other,good,10999,47,9296,457,31,0
clothes,good,14197,8,19592,394,47,1
furniture,poor,12439,45,11035,843,92,1
furniture,good,10119,61,21693,502,30,0
clothes,poor,12051,23,14470,371,70,0
furniture,good,13439,78,31625,867,112,0
other,good,10367,98,27727,1063,21,1
kids,good,14169,45,10395,423,50,1
kids,like_new,13187,61,26458,1950,214,0
other,acceptable,13059,40,18865,735,88,1
clothes,poor,13407,55,6333,1966,39,0
clothes,like_new,12279,71,20429,1945,369,1
other,acceptable,10365,6,1048,1660,66,0
furniture,poor,10409,0,23975,1553,15,0
kitchen_utensils,acceptable,12629,72,14639,1733,103,0
kids,good,13129,90,4102,109,7,0
clothes,like_new,14195,76,19805,1645,197,1
furniture,good,10969,58,28218,129,24,0
clothes,acceptable,13597,95,14772,1525,259,1
kids,acceptable,13407,0,29694,585,40,0
furniture,good,13351,82,31046,1447,14,1
kids,acceptable,10247,41,31214,868,164,1
clothes,poor,12109,38,4748,1389,166,1
furniture,good,10319,34,30187,612,67,1
other,good,10785,45,22616,258,43,0
other,poor,12353,33,13794,1125,180,1
other,like_new,10243,13,18018,485,24,0
clothes,good,12557,25,10378,385,38,0
other,good,13503,41,18406,49,2,1
kitchen_utensils,poor,10119,28,18181,1488,74,1
furniture,acceptable,12559,50,1190,369,51,1
kitchen_utensils,poor,12101,28,26098,867,0,0
furniture,acceptable,12687,25,1351,602,66,0
clothes,poor,12043,64,26798,204,38,0
kitchen_utensils,acceptable,13059,28,28307,1877,225,0
kitchen_utensils,poor,13355,27,17702,652,91,1
kitchen_utensils,poor,10439,87,23842,1101,176,1
other,like_new,12055,52,17225,1371,54,1
kitchen_utensils,like_new,10243,16,3931,1749,104,1
other,good,12353,13,17288,1056,21,1
clothes,good,12047,5,18285,161,20,0
kitchen_utensils,good,12109,83,31424,815,97,0
kids,like_new,12357,99,30960,300,54,0
clothes,good,12249,49,8439,284,0,0
other,like_new,12103,95,20206,204,16,1
clothes,like_new,13587,87,6512,632,0,0
kids,good,10585,2,27449,196,35,1
clothes,poor,10711,17,26809,1919,364,0
kitchen_utensils,acceptable,12159,37,4707,1188,213,1
other,poor,13051,39,568,1880,263,1
kids,acceptable,13158,3,18230,60,5,0
furniture,poor,10317,54,20296,362,43,0
furniture,poor,10555,45,7422,1229,172,0
furniture,acceptable,10439,33,26871,750,22,1
other,acceptable,12307,47,23512,1698,67,1
kitchen_utensils,poor,12307,94,2285,1507,90,1
kitchen_utensils,like_new,12165,4,19299,589,53,0
other,poor,13088,19,8644,680,108,0
other,good,12683,81,4724,1777,177,0
kids,acceptable,10367,31,20193,1959,333,0
other,good,13088,37,20433,1288,77,1
kitchen_utensils,like_new,12587,14,28018,1670,50,0
furniture,good,12169,41,2471,1605,64,0
furniture,like_new,12107,91,15557,1123,190,1
kids,like_new,12043,3,12998,1681,252,0
furniture,acceptable,10997,10,31178,1513,45,0
furniture,like_new,10707,91,3640,1240,173,1
kitchen_utensils,good,13465,54,5390,1039,114,0
kitchen_utensils,good,13597,84,12949,1518,0,0
kids,like_new,12043,26,28473,1324,251,0
furniture,good,13587,56,24111,1112,66,1
clothes,poor,12357,12,6899,716,114,0
kitchen_utensils,acceptable,12435,23,23388,1497,224,1
kitchen_utensils,poor,12587,31,30983,1086,195,1
furniture,like_new,10439,18,9838,1747,122,0
kids,acceptable,13127,52,7693,795,0,1
kitchen_utensils,acceptable,10178,96,8701,1957,332,1
kids,poor,14053,62,23283,1127,191,1
kids,like_new,12051,67,4323,1065,138,1
clothes,like_new,10715,19,17001,1058,105,0
other,good,13591,36,13594,374,26,0
kitchen_utensils,poor,10965,12,7545,13,0,0
furniture,poor,10825,32,12631,616,67,0
furniture,poor,13595,58,21069,1197,179,1
clothes,poor,13403,27,28850,1576,63,1
furniture,good,13469,11,25837,1859,223,1
furniture,good,10969,2,26957,1808,307,0
kids,acceptable,10365,90,7109,1567,156,1
furniture,poor,14195,8,17535,356,42,1
kitchen_utensils,like_new,10589,15,31801,1578,268,1
other,acceptable,12587,75,24715,637,19,1
clothes,like_new,14199,75,4105,1410,169,0
kids,like_new,10367,90,31388,57,7,0
furniture,poor,13088,36,15355,1487,29,1
kitchen_utensils,good,10969,24,23847,277,0,1
other,like_new,12157,48,15630,1374,27,1
other,like_new,12101,48,21347,1113,178,1
furniture,like_new,13156,42,1228,838,150,1
furniture,like_new,12305,9,22678,176,24,0
other,like_new,13599,1,1857,1888,56,1
kids,poor,10785,86,20003,224,6,1
other,like_new,10319,37,1367,919,45,1
clothes,acceptable,10829,81,24792,248,42,0
kitchen_utensils,acceptable,12055,77,617,622,31,1
clothes,good,12169,73,26535,1407,154,1
other,acceptable,12209,43,18888,265,21,1
kitchen_utensils,good,14053,92,16315,739,14,0
clothes,poor,14089,50,16928,1270,215,0
clothes,poor,13587,25,6300,1342,241,0
kids,poor,10783,40,26565,397,71,0
clothes,acceptable,12351,16,16199,1816,181,0
other,acceptable,14089,62,3566,823,156,0
kids,good,10365,74,12975,364,69,0
other,poor,14129,80,15555,563,33,0
clothes,acceptable,12161,30,27479,163,14,1
other,good,12207,74,10365,1289,116,1
kids,acceptable,13409,69,10635,1259,176,0
furniture,good,10781,56,5512,520,57,1
furniture,like_new,10969,10,13595,1777,195,1
furniture,acceptable,12627,90,15788,124,23,1
kitchen_utensils,good,10369,36,10005,1146,0,1
other,like_new,10179,57,21819,318,3,1
