search_id,item_category,item_condition,distance,item_available_timer,n_views,n_likes,item_available
1,5,2,1177,84,716,14,0
2,1,3,4792,19,361,43,0
3,3,1,29028,45,1669,83,0
4,5,2,9661,59,578,80,1
5,4,1,26141,48,704,70,1
6,1,3,6513,64,95,18,0
7,2,3,9717,42,869,8,1
8,4,3,26044,71,1444,86,0
9,2,1,23984,85,1594,95,0
10,3,2,11262,22,846,42,1
11,3,2,15325,9,1685,50,1
12,1,3,11823,60,1959,78,0
13,3,1,2705,79,236,4,0
14,1,4,26789,17,792,0,1
15,2,4,29967,60,322,28,1
16,2,3,15010,62,1454,276,1
17,3,2,22098,9,1258,138,1
18,2,1,20204,77,551,71,1
19,3,1,21080,54,748,7,1
20,4,3,958,11,1847,55,0
21,3,2,19116,67,417,62,1
22,1,4,10977,54,1742,121,0
23,3,4,30900,60,757,15,1
24,2,4,8750,46,502,40,0
25,1,1,5203,19,477,4,0
26,2,2,26912,47,1442,273,0
27,5,3,18572,31,291,43,0
28,2,1,13656,41,1499,194,1
29,3,4,22471,55,811,97,1
30,5,4,23385,34,939,0,0
31,1,4,7479,80,1140,125,0
32,4,2,8535,20,287,14,1
33,1,4,5051,60,978,146,0
34,3,4,24128,54,46,7,1
35,3,1,30350,11,295,17,1
36,2,4,3619,0,1829,347,1
37,1,2,31897,68,212,27,0
38,1,1,21438,39,1650,16,1
39,1,3,7543,9,395,67,0
40,5,3,8119,72,858,51,1
41,4,2,209,64,662,72,0
42,5,1,27157,97,1485,74,1
43,2,4,4015,23,448,35,0
44,3,4,29649,82,1915,38,0
45,1,4,27076,41,1075,161,0
46,1,1,26871,13,7,0,1
47,4,2,25366,89,1037,51,0
48,3,2,2402,80,1112,44,1
49,3,3,476,28,1323,158,0
50,1,1,7422,0,1294,142,1
51,4,1,9518,12,1105,0,0
52,2,4,15724,10,1828,347,1
53,2,4,24624,45,1202,204,1
54,4,3,7280,3,1324,105,1
55,2,4,10199,0,376,22,0
56,4,1,28361,42,1358,122,1
57,4,3,15470,61,1050,126,0
58,5,3,14753,88,2,0,0
59,4,3,19643,12,1301,117,0
60,4,1,14003,52,1153,184,1
61,2,2,6604,67,1423,184,1
62,4,4,30005,12,86,4,0
63,5,4,24266,23,971,9,1
64,1,3,6865,23,1517,288,1
65,2,1,10555,51,1676,67,0
66,1,2,28465,17,1143,182,0
67,1,3,22753,2,434,52,1
68,3,4,17014,49,580,69,1
69,3,3,30683,93,1017,111,0
70,5,2,20735,28,1614,306,1
71,1,2,18173,6,1337,53,1
72,3,2,12747,68,149,23,0
73,4,2,18767,25,1969,177,1
74,3,4,30517,78,305,3,0
75,5,4,4385,46,1406,154,0
76,1,2,10242,73,1394,195,0
77,2,4,18543,77,33,1,0
78,2,4,26216,59,1170,187,1
79,2,4,30264,39,1563,93,1
80,2,3,14610,9,641,108,1
81,3,1,3125,4,174,27,1
82,5,4,2395,17,1714,119,1
83,3,4,21001,63,1664,116,1
84,3,2,18505,7,1616,258,0
85,2,3,2000,40,344,65,1
86,4,2,20304,61,1554,62,1
87,3,3,9689,50,37,4,0
88,2,1,15217,0,316,44,0
89,4,1,8101,49,68,4,0
90,2,2,16272,31,1150,172,0
91,3,3,18930,78,114,20,1
92,1,2,5258,15,1991,0,1
93,1,3,31839,71,1171,175,0
94,1,2,21270,3,1530,244,0
95,5,1,27367,67,518,72,0
96,5,3,25860,23,228,25,0
97,3,4,11564,66,1805,162,1
98,4,1,7563,88,361,57,0
99,4,4,18863,82,750,142,0
100,5,1,11470,62,1449,144,1
101,5,3,20550,24,79,4,0
102,5,2,22279,8,1053,179,0
103,1,2,20826,29,1979,277,0
104,5,3,2824,87,1453,247,0
105,3,2,3666,96,774,123,0
106,1,3,20432,9,342,0,1
107,1,4,11483,70,1538,215,1
108,4,3,15945,67,707,42,1
109,2,4,2741,4,802,144,1
110,2,4,26205,77,1988,357,0
111,2,1,21443,96,1129,22,1
112,5,2,7136,45,1882,169,0
113,1,4,19826,98,1985,19,0
114,1,2,27601,43,1790,232,0
115,1,2,10960,22,1826,237,0
116,1,1,9146,11,1010,141,1
117,1,3,1741,33,1784,142,0
118,2,3,8387,23,1172,128,1
119,4,3,2196,22,1837,18,1
120,3,2,24473,35,1281,12,1
121,5,2,4063,59,1404,126,1
122,2,3,18025,62,577,34,1
123,4,1,21652,91,1299,51,1
124,4,3,25172,68,801,64,1
125,1,3,26506,46,228,20,0
126,1,4,395,55,1667,66,1
127,3,3,16378,38,1761,193,0
128,3,3,31029,28,1180,177,0
129,2,3,8876,35,1163,116,1
130,5,3,7261,30,747,52,1
131,4,1,7181,19,552,44,1
132,1,2,15291,58,1231,196,0
133,1,3,26272,10,1084,32,1
134,2,3,6203,88,961,19,0
135,3,2,14289,81,886,8,1
136,3,3,3146,54,1540,154,0
137,2,4,22517,76,193,19,1
138,1,2,29013,14,1382,165,0
139,3,1,23194,38,1658,99,0
140,4,4,11808,7,932,121,1
141,4,2,14607,48,1914,133,1
142,2,2,19184,43,11,1,1
143,5,3,4260,65,209,18,0
144,3,2,7649,83,1859,223,1
145,2,4,4744,94,1455,189,0
146,5,4,7648,9,1908,19,0
147,4,1,9607,82,373,11,0
148,3,3,2601,81,1877,356,0
149,1,2,28766,85,82,0,0
150,4,3,336,72,452,45,0
151,2,2,5378,6,1725,327,1
152,1,1,14079,96,881,17,1
153,3,2,18452,48,268,37,1
154,3,4,8165,53,810,24,1
155,5,2,7929,51,850,25,1
156,2,2,19725,81,1980,19,1
157,2,1,1160,55,1104,143,0
158,2,2,21015,37,1556,93,1
159,3,1,25145,7,1837,146,0
160,3,1,14243,40,1938,116,0
161,3,2,30080,47,1209,12,1
162,4,4,416,28,1157,23,0
163,5,2,8417,99,912,100,1
164,3,4,21575,74,1544,77,0
165,3,1,22265,13,1478,88,0
166,4,1,10826,65,1379,41,0
167,5,2,11055,92,1655,182,0
168,4,1,13154,95,1430,14,0
169,3,4,7071,39,1820,36,0
170,4,3,31801,25,1456,218,0
171,4,2,15398,35,479,28,1
172,2,2,26014,73,307,58,1
173,4,2,5663,62,1228,73,1
174,3,3,22479,23,1984,158,0
175,1,4,30959,75,1139,34,1
176,2,2,28655,49,811,129,1
177,4,3,12438,80,14,1,0
178,4,4,22333,18,476,57,0
179,3,2,11750,38,203,32,0
180,3,2,12161,12,1596,223,0
181,4,4,31601,12,1741,208,1
182,1,1,26001,67,1056,147,0
183,3,1,17092,83,428,81,0
184,1,4,5440,87,450,13,1
185,3,3,17483,36,126,11,0
186,3,4,31490,78,975,39,0
187,3,4,4109,76,365,3,1
188,1,3,28077,79,548,5,1
189,1,1,28018,30,13,0,0
