id,title,description,available,timedate_creation,latitude,longitude,condition,categories,category_ml,views,likes,point
1,"['kitchen_utensils', 'kids']",bug,0,2023-03-20,68.0484815,-124.938022,poor,kids,kitchen_utensils,492,11,y
2,"['clothes', 'kids', 'other']",bug,0,2023-03-29,65.399551,-40.654505,acceptable,kitchen_utensils,clothes,1735,13,x
3,['clothes'],yeyyyy,0,2023-03-15,-37.636782,-141.559272,like_new,clothes,clothes,56,2,y
4,['kitchen_utensils'],yeyyyy,0,2023-03-17,-51.730042,-176.819172,poor,kitchen_utensils,kitchen_utensils,1099,17,x
5,"['kitchen_utensils', 'kids']",bug,0,2023-03-27,52.544785,-97.566392,acceptable,furniture,kitchen_utensils,1669,17,y
6,"['kitchen_utensils', 'kids']",uhuuuu,0,2023-03-26,16.1604875,-179.464382,acceptable,kids,kitchen_utensils,1944,1,x
7,['furniture'],anything,1,2023-04-03,7.6686225,136.022117,acceptable,kitchen_utensils,furniture,1589,18,x
8,['kids'],anything,1,2023-03-31,-63.8536565,-92.790227,like_new,kids,kids,974,5,y
9,"['clothes', 'kids', 'other']",anything,0,2023-03-21,22.321999,173.85251,acceptable,other,clothes,1719,15,x
10,['furniture'],yeyyyy,1,2023-03-24,15.226308,-69.312336,poor,clothes,furniture,10,2,y
11,"['kitchen_utensils', 'kids']",today is the presentation day,0,2023-03-20,-46.427677,79.71023,good,furniture,kitchen_utensils,442,18,y
12,['kitchen_utensils'],what day is today?,0,2023-03-11,9.7258945,60.334905,poor,kitchen_utensils,kitchen_utensils,540,24,y
13,['kids'],solving the problem,1,2023-03-25,59.1759165,-156.331215,like_new,kitchen_utensils,kids,1974,24,y
14,['other'],yeyyyy,0,2023-03-11,-58.701493,-63.295236,poor,furniture,other,1763,13,y
15,['clothes'],whaterver,0,2023-03-10,63.3531305,49.978901,like_new,kitchen_utensils,clothes,736,24,y
16,['other'],uhuuuu,1,2023-04-01,59.065639,-25.905383,like_new,kids,other,1443,13,y
17,['other'],we are the second team to present,0,2023-03-18,39.8326405,113.964312,like_new,other,other,810,17,x
18,['clothes'],whaterver,0,2023-03-11,51.2885345,149.646988,like_new,clothes,clothes,1885,12,x
19,"['furniture', 'clothes', 'kitchen_utensils']",today is the presentation day,1,2023-04-04,76.046103,83.236785,like_new,kids,furniture,786,5,x
20,['clothes'],we are the second team to present,1,2023-03-10,48.4053255,-0.449842,poor,kids,clothes,1731,6,y
21,['kitchen_utensils'],we are the second team to present,1,2023-03-20,87.5792105,-94.402878,like_new,kids,kitchen_utensils,812,0,y
22,"['kitchen_utensils', 'kids']",bug,1,2023-03-19,86.996529,-23.712297,poor,furniture,kitchen_utensils,144,19,x
