item_id,item_condition,item_postcode,item_lat,item_lng,item_status,searched_item_postcode,item_datetime_posted,item_datetimechangeditemstatus,n_stars,user_looker_id,user_looker_lat,user_looker_lng,item_category,item_name,searched_item_name,searched_item_category
458,1,10997,5.248.335.794,1.352.905.137,not_available,10317,2023-02-17,2023-02-18,3,706,5.244.015.683,1.336.432.302,tech,keyboard,appliance,vacuum_cleaner
334,1,10829,524.768.847,1.346.318.315,not_available,12247,2023-02-18,2023-03-13,3,498,5.249.558.027,1.356.921.324,lighting,lighting,appliance,heater
773,3,13355,5.250.914.057,1.334.844.761,not_available,10405,2023-02-24,2023-03-11,1,279,5.247.056.723,1.345.241.784,furniture,sofa,furniture,table
254,1,10967,5.262.464.481,1.326.116.302,avaliable,13403,2023-03-07,2023-03-15,4,1481,524.914.937,1.346.145.126,furniture,cupboard,miscelaneaous,carpet
773,3,12679,5.253.049.413,1.337.073.656,avaliable,10719,2023-02-21,2023-02-27,5,868,5.246.958.581,1.345.706.342,home,mattress,clothes,man_clothes
1358,1,12527,5.251.161.906,1.348.838.491,avaliable,13053,2023-03-02,2023-03-14,3,854,5.245.508.274,133.946.506,appliance,dish_washer,furniture,shoe_rack
252,2,10119,5.255.519.689,1.345.973.473,avaliable,12437,2023-03-06,2023-03-10,5,25,5.254.370.155,1.330.961.707,furniture,wardrobe,miscelaneaous,board
679,1,10715,5.262.701.259,1.333.805.815,avaliable,12209,2023-02-24,2023-03-06,2,1421,5.249.724.836,1.357.112.979,furniture,cupboard,appliance,extractor_hood
781,3,12351,5.250.862.843,133.394.278,not_available,12205,2023-02-17,2023-03-10,3,274,5.255.054.347,1.339.491.627,miscelaneaous,bicycle,furniture,mirror
924,2,12209,5.251.704.365,1.334.349.088,avaliable,14109,2023-02-18,2023-03-18,5,488,5.252.662.925,1.331.742.125,furniture,bed,home,mattress
1267,2,12169,5.247.520.154,1.338.276.775,avaliable,13507,2023-03-05,2023-03-15,2,579,5.252.922.287,133.251.321,tech,desktop,miscelaneaous,board
30,3,14163,524.653.569,1.321.995.128,avaliable,10777,2023-03-14,2023-03-15,3,1238,5.241.430.368,1.319.121.119,musical_equipment,piano,tech,phone
35,2,13597,524.945.998,1.319.816.952,avaliable,10965,2023-02-20,2023-03-14,4,679,5.246.428.113,133.065.051,appliance,vacuum_cleaner,furniture,cupboard
1057,1,12459,5.251.562.574,1.335.771.818,not_available,14053,2023-02-24,2023-03-19,4,140,5.248.866.001,1.341.993.418,musical_equipment,guitar,miscelaneaous,ironing_board
1156,3,12355,5.248.987.586,1.331.057.901,not_available,14109,2023-02-17,2023-03-03,5,385,5.253.716.831,1.349.464.139,tech,laptop,home,mattress
1075,2,10713,5.252.932.499,1.340.519.186,avaliable,12165,2023-02-28,2023-03-03,5,1352,5.241.726.546,1.343.895.061,miscelaneaous,carpet,miscelaneaous,frame
1080,2,14052,5.245.711.647,1.333.455.058,avaliable,12351,2023-03-12,2023-03-17,3,324,5.248.000.776,1.328.121.525,furniture,desk,furniture,shelf
389,1,10319,5.248.105.452,1.331.076.826,avaliable,10559,2023-02-28,2023-03-01,5,524,5.241.460.989,1.339.963.952,tech,desktop,appliance,drying_rack
896,1,12165,5.251.562.282,1.345.419.066,not_available,12526,2023-02-23,2023-03-11,1,200,5.244.579.397,1.314.169.045,furniture,rollcontainers,furniture,rollcontainers
