item_category,item_condition,distance,item_available_timer,n_views,n_likes,item_available
2,4,6911,90,671,0,1
3,1,11522,87,404,68,0
2,2,14561,73,212,12,1
2,4,981,90,742,89,0
2,2,18857,21,1969,334,0
1,4,2092,84,1835,165,1
4,1,24441,84,291,49,0
5,2,26665,27,253,48,0
1,3,245,58,1393,27,1
5,3,27180,51,1748,297,1
3,1,2657,20,1860,186,0
5,2,14044,46,983,39,1
5,3,6826,80,373,33,0
3,1,24820,92,1483,14,1
5,3,13546,40,600,72,1
1,3,16145,41,1776,266,1
2,3,14286,87,832,33,0
3,4,20950,37,683,75,0
4,3,17603,91,628,81,0
5,4,28453,26,104,17,1
2,4,747,72,764,91,0
2,2,19553,90,652,110,1
5,3,18236,66,886,168,0
2,3,8939,67,928,102,0
4,3,6767,68,1190,190,1
1,2,15017,71,466,65,1
1,1,17657,30,526,94,1
3,4,16840,4,1365,136,1
5,4,31806,61,1590,270,0
1,4,25295,23,1928,134,1
2,1,563,86,854,42,1
2,4,11168,20,503,60,0
4,2,31819,95,1940,232,1
2,2,6343,79,1246,186,1
3,2,27008,58,1385,110,0
4,1,5295,59,1583,189,1
2,2,22985,78,976,39,0
4,2,23357,1,328,45,1
4,4,12725,11,642,6,0
2,4,14887,70,508,96,1
4,1,26617,45,1733,173,1
2,3,28739,93,1016,50,1
4,4,8475,93,1863,316,1
4,1,15655,56,164,19,1
4,3,2546,51,1282,141,1
1,3,21931,36,990,108,0
4,2,13458,18,1144,194,0
4,3,2300,64,860,60,0
4,1,26610,52,2000,160,0
4,1,8041,18,719,122,1
4,1,24743,2,993,9,0
2,3,7357,30,1658,198,1
3,1,19090,5,510,86,0
4,2,29773,10,1266,37,0
1,4,24174,62,651,32,1
3,1,8938,34,1470,102,0
1,1,14091,56,1362,122,1
2,2,6287,80,1986,258,0
3,3,12575,92,223,17,1
3,4,16902,47,1094,164,1
2,4,31952,87,680,27,1
3,1,29451,73,386,27,0
2,1,1464,56,642,77,0
3,4,16216,57,709,42,0
3,3,9737,60,1110,199,0
3,4,9556,82,1551,46,0
5,2,176,84,1652,231,1
4,1,8844,58,1074,53,1
4,3,18021,97,1271,216,1
5,3,18698,35,357,57,0
2,4,22285,19,1897,94,1
1,1,24246,45,1332,173,1
2,2,22994,7,1932,328,1
2,4,4433,42,632,6,1
4,3,18553,68,783,31,1
5,1,28608,66,870,8,1
3,3,22992,86,924,101,0
4,4,10376,9,812,129,0
5,1,27572,2,1964,216,1
1,2,15725,3,707,14,1
3,4,16231,9,1377,206,1
1,1,7246,76,882,61,1
4,1,26463,70,779,116,0
2,2,9258,17,110,19,1
1,4,31292,74,1159,81,1
2,1,11016,4,1678,0,1
2,1,22855,81,773,108,1
1,1,22541,23,1093,153,0
1,3,17671,96,371,59,1
1,3,11116,49,1060,127,0
4,1,30405,15,488,58,0
5,4,18573,90,471,51,1
5,3,18110,1,1028,174,1
2,1,25,12,1474,29,1
