item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_available
5,2,64,7001,1460,116,1
3,2,18,1668,1399,69,0
3,4,24,1396,441,8,0
3,2,30,28835,1162,220,0
4,1,53,11339,1652,115,1
5,3,78,3281,692,83,0
2,1,84,23699,1174,211,0
1,1,98,24175,579,110,1
4,2,52,16601,1218,194,0
2,1,76,13889,65,4,1
2,4,10,12978,1776,106,0
2,1,59,28067,1018,162,0
2,2,74,6553,1571,251,0
4,1,55,20855,479,67,1
5,3,35,6853,1154,23,1
3,4,57,5860,1230,159,1
5,2,40,23480,1124,112,1
3,3,61,19813,1577,126,0
1,4,0,15756,1352,175,0
2,4,96,26892,1454,0,1
5,4,88,15098,224,8,1
3,3,19,4624,688,75,0
5,2,39,17810,1140,114,0
2,1,86,33,1128,101,1
3,3,16,8809,812,113,0
5,4,20,17660,1622,32,1
2,3,65,16659,1351,202,0
2,2,91,18545,1629,309,0
3,4,25,2597,1525,91,1
3,4,59,29037,1559,296,0
5,4,65,23976,958,134,1
1,2,71,23370,373,29,0
4,4,15,3059,1211,121,0
5,2,37,27800,66,1,0
4,3,89,16591,30,3,0
4,4,41,22983,1676,83,0
2,3,92,13969,343,61,0
1,2,4,945,315,44,1
4,1,78,17927,1999,119,0
3,1,55,29881,1220,207,0
3,2,54,26915,696,55,1
3,2,0,27522,1694,135,0
3,3,7,21348,700,28,1
2,1,45,10057,1982,198,1
5,2,24,26211,1383,235,0
1,4,1,15255,999,159,0
2,1,0,27944,1352,162,0
4,4,34,6915,1278,242,1
4,2,4,10800,1804,288,1
3,1,21,6114,1077,43,0
2,2,36,3270,1815,90,1
4,1,58,26754,1197,131,1
3,2,31,4858,1091,109,0
4,2,36,6187,222,26,1
5,2,7,4247,596,47,1
5,2,59,14718,1275,140,1
4,4,90,12354,1867,336,1
2,1,53,15831,1426,0,0
3,2,49,14985,247,41,1
5,3,50,179,1600,80,1
2,4,21,15148,632,25,1
4,2,72,6841,722,36,0
2,2,74,23352,1388,0,0
3,4,63,9470,621,18,0
3,2,93,20141,438,35,0
1,2,87,13240,516,10,1
2,2,28,20003,936,102,1
2,2,95,3687,392,7,0
3,3,66,22021,258,5,1
3,3,75,14572,926,27,0
5,2,34,3810,763,144,1
1,3,36,23711,1569,266,0
2,4,1,16225,1381,82,1
5,3,28,19192,763,99,1
3,1,24,12232,1334,106,1
4,3,6,8772,439,57,1
2,3,38,2221,310,40,1
4,1,97,1237,1126,33,0
1,1,93,120,965,67,0
5,4,95,7789,1454,218,0
1,3,45,15655,525,89,1
3,2,47,4490,1790,53,1
4,3,91,15718,477,14,1
3,3,6,19370,1108,155,0
4,2,4,3222,510,40,1
2,2,26,20728,1070,128,0
2,2,29,17211,1496,29,1
3,3,6,23376,1856,241,0
3,1,59,6420,826,115,0
4,2,39,3993,1019,50,1
4,3,69,25999,1607,128,0
2,2,71,22236,737,58,1
5,1,51,11592,524,52,0
4,2,65,14143,1574,236,1
3,2,16,11597,854,119,0
3,4,89,24489,58,8,1
2,4,13,25127,1675,33,1
2,4,64,17565,1426,14,0
1,3,91,10363,261,49,0
2,3,81,26313,883,123,1
2,2,96,27260,1137,68,0
1,3,35,30463,1185,106,0
5,4,64,13671,1648,263,1
1,4,97,22682,1408,183,1
1,1,13,21440,1126,146,0
4,3,39,10575,1228,171,1
3,4,88,14315,858,102,1
3,2,28,2202,823,41,0
4,3,7,16514,1399,209,1
5,3,60,22239,1958,234,1
4,2,58,4759,1341,134,0
1,2,75,1959,31,5,1
4,3,91,6873,178,17,1
5,1,92,16216,1461,175,0
5,3,72,26943,1600,304,0
1,1,86,31995,1983,277,1
4,2,92,27041,475,42,0
2,3,87,12535,768,23,0
3,3,28,16043,316,47,1
1,2,34,4295,1021,91,0
1,4,55,12875,542,48,1
5,4,60,2875,1174,46,0
3,3,10,30538,71,6,1
3,3,28,11821,48,7,1
1,4,50,31083,1634,196,0
5,3,44,6668,978,68,1
1,3,80,6959,109,13,1
4,3,75,11138,637,38,1
1,4,29,13683,1050,147,1
4,3,55,24553,646,116,0
5,2,16,25106,1581,63,0
