item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_id
other,1,97,20325,1231,0,1
kitchen itensils,2,54,22519,1582,0,2
clothes,3,56,18046,187,22,3
furniture,2,34,19838,190,19,4
kitchen itensils,3,77,27267,1267,215,5
clothes,4,89,18040,739,103,6
kids,4,19,28607,1154,219,7
kids,3,29,8972,286,14,8
clothes,1,55,648,1496,284,9
kitchen itensils,1,32,10899,1730,51,10
furniture,4,72,9201,59,1,11
kids,4,98,31282,1777,302,12
kids,2,20,21128,734,80,13
furniture,3,15,7626,353,10,14
kids,3,3,21684,464,23,15
furniture,3,70,27949,717,107,16
furniture,2,86,7360,1016,0,17
clothes,3,13,12020,167,13,18
clothes,1,48,12896,182,30,19
kitchen itensils,1,20,21484,631,63,20
other,1,93,12872,19,1,21
furniture,3,51,4680,1402,56,22
other,4,15,17948,670,120,23
furniture,4,53,31465,1349,107,24
clothes,1,28,10665,1154,126,25
clothes,3,54,2603,871,17,26
kitchen itensils,4,31,18719,532,79,27
kids,2,57,2305,1207,132,28
kids,4,28,13352,1981,39,29
clothes,3,16,11070,124,11,30
other,3,40,8977,1234,135,31
kitchen itensils,2,53,30830,329,52,32
clothes,1,28,29946,1268,114,33
other,1,52,19352,1311,91,34
other,3,27,10798,1266,88,35
kitchen itensils,2,2,24938,1715,188,36
kids,4,35,478,164,27,37
clothes,3,41,26170,1431,100,38
furniture,2,52,15731,1932,193,39
other,1,49,21432,355,63,40
kitchen itensils,2,45,24466,1705,51,41
other,2,28,3779,1548,0,42
other,4,19,2862,713,42,43
other,1,20,640,495,49,44
other,2,89,22070,396,63,45
kitchen itensils,2,58,25606,1845,276,46
clothes,4,82,5125,174,5,47
kitchen itensils,3,78,8240,984,108,48
kids,1,11,19668,1323,238,49
clothes,2,67,7052,149,13,50
other,1,31,10969,303,30,51
other,4,54,23427,613,98,52
clothes,1,35,9237,1862,130,53
kids,3,25,11936,1958,254,54
kids,4,47,25597,1508,211,55
kids,2,69,10444,172,24,56
kids,3,26,4086,1878,150,57
clothes,3,58,31313,541,59,58
kids,4,39,30057,9,0,59
furniture,1,2,17884,385,42,60
kids,3,86,4554,209,31,61
kids,3,15,16894,1520,212,62
kids,3,53,9377,652,39,63
furniture,4,73,11659,794,111,64
furniture,2,24,27453,1606,32,65
furniture,2,9,1230,1829,109,66
clothes,4,5,16748,46,4,67
kids,3,62,17136,213,19,68
clothes,2,57,17867,482,57,69
clothes,1,90,20789,1197,59,70
other,3,16,21391,1918,326,71
kids,4,56,2146,170,23,72
kitchen itensils,1,3,28110,754,75,73
kids,4,63,21953,1504,165,74
clothes,1,54,17145,257,30,75
clothes,1,67,13793,1216,85,76
furniture,4,78,22229,1400,238,77
kids,2,81,27753,975,58,78
kitchen itensils,3,89,25786,1295,207,79
clothes,1,37,5977,1794,161,80
other,1,16,31735,121,14,81
clothes,4,47,6896,1729,242,82
kids,1,92,16506,18,0,83
other,3,50,17610,926,18,84
other,1,8,30439,1043,156,85
clothes,2,0,10721,850,102,86
kitchen itensils,3,32,30616,625,12,87
furniture,3,51,15730,1556,280,88
furniture,2,53,30616,1567,250,89
kitchen itensils,2,58,25083,1625,211,90
kids,4,23,8296,1441,158,91
clothes,1,78,9802,630,56,92
clothes,1,88,26337,902,72,93
furniture,4,10,391,1557,46,94
clothes,4,5,24603,1377,55,95
kitchen itensils,3,4,11658,1518,0,96
kids,4,30,13767,975,87,97
kids,1,37,22984,1096,10,98
kitchen itensils,2,10,8680,1898,132,99
furniture,2,17,25344,520,20,100
kitchen itensils,3,8,31362,106,4,101
furniture,2,53,27955,215,10,102
kids,3,55,13490,444,84,103
kitchen itensils,1,96,23964,577,51,104
kitchen itensils,3,7,4101,1323,251,105
clothes,1,85,19888,536,53,106
furniture,1,59,18456,1721,240,107
other,1,94,1427,1747,314,108
kids,1,81,7523,30,4,109
kitchen itensils,1,94,9582,294,26,110
kids,1,71,4872,633,18,111
clothes,3,85,26096,926,111,112
clothes,2,82,9726,944,151,113
other,3,2,13847,864,120,114
kids,1,80,29705,675,54,115
other,3,97,25884,494,49,116
kids,4,10,31429,217,15,117
furniture,4,48,3403,342,13,118
kids,4,47,10944,706,105,119
clothes,2,18,20275,451,67,120
kitchen itensils,2,47,1129,1603,80,121
furniture,3,16,4743,1447,144,122
furniture,4,97,24816,827,99,123
kitchen itensils,2,92,10516,583,58,124
kids,1,62,29873,1960,215,125
kitchen itensils,2,89,19772,1871,112,126
furniture,2,7,10851,1322,211,127
furniture,2,48,27405,1361,108,128
kitchen itensils,2,77,23373,433,69,129
furniture,1,8,13682,419,20,130
kitchen itensils,1,26,30321,303,39,131
kitchen itensils,3,86,25860,775,23,132
kids,3,55,31391,638,12,133
clothes,3,32,25405,1562,109,134
kids,1,72,62,376,67,135
furniture,4,48,15876,821,106,136
clothes,4,49,22003,44,1,137
clothes,2,75,16385,68,12,138
other,2,1,15071,1373,151,139
kids,1,74,22857,1365,191,140
kitchen itensils,1,44,8112,1036,186,141
clothes,3,55,13894,1548,294,142
other,1,84,670,1599,111,143
other,4,49,3814,1008,161,144
furniture,3,5,15743,475,80,145
other,2,54,24562,1115,133,146
kids,1,46,12718,1053,115,147
other,1,39,14594,345,55,148
other,3,15,6232,318,60,149
clothes,3,28,12884,1973,0,150
kids,2,53,13454,663,79,151
kids,2,10,10152,452,67,152
furniture,4,52,3422,1145,160,153
kids,2,75,18962,918,137,154
kids,3,93,29431,135,16,155
kitchen itensils,4,4,24906,335,33,156
clothes,1,19,2849,2000,80,157
kids,2,89,18281,1551,170,158
furniture,3,17,25125,1823,328,159
clothes,2,13,29571,1299,168,160
furniture,1,37,26642,634,76,161
kids,4,77,24344,1337,240,162
clothes,2,99,26190,1435,71,163
other,1,50,6122,1907,171,164
furniture,2,4,30709,1394,139,165
kids,4,69,27675,1688,84,166
clothes,1,51,7521,308,18,167
kids,3,79,31793,422,16,168
kids,3,79,19024,494,59,169
kitchen itensils,2,83,28067,242,19,170
kids,3,60,982,1181,94,171
kitchen itensils,3,65,3974,898,71,172
kids,2,99,6563,1708,222,173
clothes,1,40,5136,944,0,174
furniture,4,74,12265,410,65,175
kids,4,25,25800,1715,205,176
other,3,33,10679,1310,248,177
clothes,1,46,19949,477,57,178
furniture,1,41,31868,1079,118,179
clothes,3,6,24785,703,133,180
clothes,1,21,21492,1694,220,181
kitchen itensils,1,62,17748,799,119,182
kitchen itensils,2,57,884,921,46,183
other,4,75,26943,1393,208,184
furniture,4,98,6689,1930,289,185
clothes,4,54,18706,1026,112,186
kids,2,94,6986,839,33,187
clothes,4,34,16252,1736,34,188
furniture,2,9,9093,1605,256,189
clothes,1,36,17873,1760,193,190
other,1,30,26577,761,53,191
furniture,2,38,11032,513,61,192
other,3,80,23913,507,20,193
clothes,1,50,30882,377,71,194
furniture,1,83,3470,575,86,195
kitchen itensils,1,57,22404,409,61,196
kitchen itensils,1,88,6522,1201,180,197
kids,2,23,1682,869,130,198
kitchen itensils,4,76,27338,890,142,199
clothes,3,25,21588,1710,0,200
other,1,75,1755,1492,149,201
clothes,2,46,10719,1993,378,202
other,2,12,19523,1302,91,203
kitchen itensils,2,25,23988,1905,228,204
furniture,3,82,7204,1999,339,205
other,2,62,20682,439,79,206
other,3,46,27884,738,132,207
furniture,4,59,1341,876,35,208
other,3,3,29101,1856,129,209
furniture,3,54,13085,984,39,210
clothes,4,89,24667,1258,12,211
furniture,2,49,15274,1867,18,212
clothes,4,62,9957,1133,135,213
furniture,1,27,2581,1520,152,214
kids,2,72,19493,943,84,215
furniture,4,74,24042,406,69,216
kitchen itensils,3,34,22133,1943,116,217
other,2,2,3278,918,174,218
furniture,3,12,25480,1924,307,219
kids,1,43,5165,808,32,220
other,2,86,24868,1414,226,221
kitchen itensils,1,69,14587,885,106,222
kitchen itensils,1,77,28052,786,55,223
furniture,1,14,12680,1361,149,224
kitchen itensils,3,26,7805,774,61,225
other,3,19,19202,1525,228,226
other,3,20,23584,1620,291,227
kitchen itensils,1,42,4447,274,49,228
kids,2,4,1037,1462,58,229
clothes,2,94,6092,1437,158,230
kitchen itensils,3,65,31731,934,9,231
kitchen itensils,2,52,268,1171,175,232
other,2,60,1745,1662,166,233
kitchen itensils,4,93,21089,1127,214,234
kitchen itensils,1,68,13908,1176,58,235
kitchen itensils,2,84,3458,787,118,236
kitchen itensils,4,34,23386,209,8,237
kitchen itensils,1,88,8267,238,2,238
kids,4,71,4158,1211,205,239
other,2,41,20937,1987,377,240
kitchen itensils,2,55,3861,1249,87,241
clothes,2,37,23948,383,26,242
furniture,3,57,23121,463,78,243
kids,2,29,3733,78,0,244
kids,1,44,15765,1438,273,245
kids,3,1,27348,1150,80,246
furniture,4,55,8926,734,95,247
clothes,2,57,29135,1653,148,248
