id,title,description,available,timedate_creation,latitude,longitude,condition,categories,category_ml,views,likes,point
1,"['Clothes', 'Kids toys', 'Plants']",solving the problem,1,2023-03-25 00:00:00.000000,-41.145529,-73.229844,like_new,other,Clothes,770,8,['SRID=4326;POINT (136.103328 -85.3841055)']
2,['Clothes'],solving the problem,1,2023-03-22 00:00:00.000000,54.370529,173.524423,good,other,Clothes,202,17,['SRID=4326;POINT (77.559757 -56.124415)']
3,"['Plants', 'Kitchen', 'Kids toys']",yeyyyy,1,2023-03-18 00:00:00.000000,-68.1055395,151.758655,like_new,kitchen_utensils,Plants,873,6,['SRID=4326;POINT (-30.068734 70.826829)']
4,"['Kitchen', 'Kids toys']",anything,0,2023-03-16 00:00:00.000000,-88.9073285,-102.996604,poor,furniture,Kitchen,1533,0,['SRID=4326;POINT (-68.796834 65.0167555)']
5,"['Plants', 'Kitchen', 'Kids toys']",what day is today?,0,2023-03-05 00:00:00.000000,22.259024,-111.733357,acceptable,kitchen_utensils,Plants,284,15,['SRID=4326;POINT (-101.899207 40.182258)']
6,['All'],bug,1,2023-03-31 00:00:00.000000,-78.9768925,90.218313,acceptable,furniture,All,199,8,['SRID=4326;POINT (-8.874338 -30.947329)']
7,"['Kitchen', 'Kids toys']",yeyyyy,1,2023-03-14 00:00:00.000000,32.5745345,-10.023637,acceptable,furniture,Kitchen,1878,18,['SRID=4326;POINT (176.569963 28.8066195)']
8,['All'],whaterver,1,2023-03-16 00:00:00.000000,84.257244,162.168427,poor,kitchen_utensils,All,513,1,['SRID=4326;POINT (-32.177057 -39.3340255)']
9,['All'],yeyyyy,0,2023-03-10 00:00:00.000000,3.8989175,83.143807,acceptable,clothes,All,1053,12,['SRID=4326;POINT (-33.886804 4.657137)']
10,"['Furniture', 'Clothes', 'Kitchen']",solving the problem,0,2023-03-31 00:00:00.000000,68.0098265,-28.213832,acceptable,clothes,Furniture,22,8,['SRID=4326;POINT (-63.030552 -13.297631)']
11,"['Kitchen', 'Kids toys']",yeyyyy,1,2023-04-01 00:00:00.000000,15.3517375,-144.847497,acceptable,clothes,Kitchen,1401,4,['SRID=4326;POINT (-85.939805 10.8155445)']
