item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_id
other,4,66,22768,1349,94,1
other,4,94,8623,23,1,2
other,3,31,31479,146,13,3
furniture,3,36,15871,1671,0,4
other,4,9,21883,1878,281,5
furniture,3,6,8654,128,2,6
kitchen_utensils,4,51,29348,1950,136,7
clothes,2,93,21825,170,32,8
kitchen_utensils,1,15,30260,94,12,9
furniture,2,39,6194,1197,191,10
other,3,50,9090,1825,0,11
other,3,56,22861,447,80,12
kids,1,36,16857,1410,28,13
furniture,1,52,21436,157,7,14
kids,2,76,29780,1109,166,15
kids,2,59,18008,900,144,16
clothes,3,39,28572,609,85,17
kids,3,0,30695,836,83,18
kitchen_utensils,1,31,31680,1130,158,19
kitchen_utensils,1,64,25734,16,0,20
kids,4,77,21115,1486,104,21
clothes,1,9,4870,816,8,22
kitchen_utensils,3,46,18400,1112,166,23
furniture,2,58,15895,486,87,24
furniture,1,17,12407,1891,321,25
kids,1,99,29675,654,111,26
kitchen_utensils,2,12,24284,1545,231,27
other,3,16,2233,1135,68,28
kitchen_utensils,1,40,6732,1643,16,29
kids,1,69,29991,1273,241,30
furniture,3,23,491,80,0,31
clothes,4,42,878,876,122,32
furniture,4,11,20083,974,29,33
kitchen_utensils,3,74,16240,108,5,34
kids,1,81,8277,947,85,35
kitchen_utensils,1,78,5227,1642,229,36
kitchen_utensils,1,84,31207,1568,188,37
kitchen_utensils,3,90,18256,1783,17,38
kids,1,36,25863,237,9,39
kitchen_utensils,1,71,29381,1884,18,40
other,2,66,7159,1780,106,41
clothes,3,40,27471,1523,91,42
kids,4,16,28213,1471,176,43
kids,2,34,13837,1454,145,44
kitchen_utensils,1,17,8679,1126,56,45
kids,3,61,1325,541,5,46
kids,3,26,9721,126,16,47
furniture,1,25,2261,360,10,48
kids,4,52,1188,1970,334,49
other,2,37,14297,188,26,50
furniture,2,53,20589,1012,60,51
clothes,3,29,15412,661,6,52
other,3,7,30536,252,40,53
kitchen_utensils,3,43,4801,1911,114,54
clothes,4,68,1141,863,69,55
kitchen_utensils,1,77,7925,1926,38,56
clothes,4,6,15319,303,27,57
clothes,3,44,26669,1321,118,58
clothes,2,31,4653,698,48,59
furniture,3,8,24710,1146,11,60
kitchen_utensils,1,85,26101,384,15,61
clothes,4,96,16364,1358,190,62
furniture,3,76,10644,32,3,63
other,4,97,13606,1576,204,64
kitchen_utensils,3,55,6550,213,38,65
clothes,1,57,2028,1683,16,66
furniture,4,41,30135,115,17,67
clothes,4,49,26113,631,50,68
clothes,2,53,9869,1557,108,69
kids,1,24,10745,1018,71,70
other,3,76,18301,492,93,71
furniture,1,37,13285,1973,355,72
clothes,2,93,17612,609,60,73
kids,1,83,14922,175,33,74
kitchen_utensils,2,54,29270,1305,117,75
kitchen_utensils,2,46,18561,1891,151,76
kitchen_utensils,2,35,19109,112,8,77
clothes,3,66,5806,499,64,78
other,1,42,12727,164,9,79
other,3,68,28022,1460,0,80
kids,2,64,11610,730,102,81
kids,1,12,3504,1988,337,82
kids,3,6,7388,964,57,83
clothes,2,79,30863,1459,72,84
furniture,3,84,2730,628,87,85
other,4,11,11056,1910,210,86
furniture,4,83,15557,1569,47,87
clothes,2,99,13061,928,18,88
other,3,94,3859,1614,274,89
clothes,3,50,22003,1545,231,90
clothes,3,50,25697,305,39,91
furniture,1,1,6502,1614,306,92
other,2,47,22494,314,18,93
other,3,24,14642,1008,131,94
kitchen_utensils,3,0,26463,123,11,95
other,2,77,24994,1092,43,96
kids,4,19,3563,618,43,97
other,2,55,17121,1727,310,98
other,3,27,921,1325,39,99
kitchen_utensils,3,66,25907,1312,209,100
clothes,2,40,7163,155,29,101
other,2,21,9746,1002,100,102
kitchen_utensils,3,85,28203,1730,121,103
other,1,4,25462,2,0,104
clothes,3,17,29151,1027,20,105
clothes,2,46,20039,289,23,106
furniture,3,58,28179,158,1,107
furniture,4,2,20115,552,49,108
furniture,3,74,28309,1063,180,109
clothes,2,13,30070,984,49,110
other,2,92,15209,1233,24,111
clothes,4,82,23571,789,78,112
clothes,1,24,7016,841,67,113
kitchen_utensils,1,79,1794,463,55,114
furniture,2,91,13048,174,26,115
other,2,4,10276,339,20,116
furniture,4,66,1228,710,63,117
kids,3,96,18776,632,31,118
kids,4,59,27678,620,117,119
kids,1,81,21528,282,8,120
clothes,2,94,19279,605,0,121
kitchen_utensils,1,8,11226,719,100,122
clothes,2,83,15849,1175,105,123
other,1,64,25226,1523,15,124
clothes,3,47,23855,893,98,125
other,3,50,28649,629,50,126
kids,2,49,14107,1372,233,127
kitchen_utensils,1,36,20961,1605,240,128
furniture,3,67,19818,838,25,129
furniture,2,12,50,1608,289,130
kitchen_utensils,4,56,24611,693,41,131
kitchen_utensils,1,21,13907,1334,173,132
furniture,3,7,22224,1476,236,133
other,1,76,19900,668,13,134
kitchen_utensils,1,20,23476,1783,0,135
clothes,2,66,14489,1202,180,136
kids,3,30,9585,82,15,137
clothes,2,87,11006,968,164,138
other,1,37,3906,1224,110,139
other,4,75,23246,1948,331,140
kids,2,46,989,112,15,141
other,1,78,30528,1117,78,142
kids,3,51,18546,411,36,143
clothes,4,70,13473,1558,296,144
clothes,2,82,20811,1625,195,145
furniture,4,15,22402,1332,66,146
furniture,4,32,18022,130,14,147
other,2,73,21929,423,8,148
clothes,2,50,25366,818,147,149
kitchen_utensils,1,55,31512,900,162,150
kids,1,70,15648,1437,129,151
kitchen_utensils,1,75,8527,1897,94,152
kids,2,5,29098,1170,23,153
kids,2,26,25948,761,7,154
kids,3,97,3172,1354,67,155
clothes,3,11,3974,1158,34,156
kitchen_utensils,1,14,15655,792,102,157
kitchen_utensils,3,47,18100,20,3,158
other,3,31,1994,1269,164,159
other,3,81,435,66,7,160
kids,3,30,30478,34,4,161
kitchen_utensils,4,94,30815,785,23,162
clothes,2,38,9082,794,150,163
kids,4,44,2273,25,2,164
other,3,41,27339,678,40,165
other,3,46,10301,93,2,166
kitchen_utensils,4,46,18949,905,144,167
clothes,3,8,1046,1608,241,168
furniture,4,33,21342,365,58,169
other,4,21,17505,962,38,170
furniture,4,16,9179,566,50,171
other,2,64,11821,810,56,172
furniture,2,58,28836,1238,235,173
kitchen_utensils,3,64,3851,1327,172,174
clothes,2,1,25632,253,20,175
clothes,1,0,30264,559,5,176
furniture,3,75,13722,483,62,177
other,2,98,26301,466,23,178
other,3,35,14457,40,2,179
clothes,2,26,1977,1963,137,180
furniture,4,88,7061,358,60,181
clothes,4,88,23933,1082,54,182
kitchen_utensils,2,90,6000,690,117,183
clothes,3,13,27312,1354,121,184
clothes,4,50,15531,1957,156,185
other,1,86,8927,1067,192,186
furniture,2,42,7592,240,33,187
other,4,86,1990,104,1,188
clothes,2,99,18158,800,8,189
clothes,3,98,28433,1417,42,190
kids,4,96,1754,1487,0,191
other,1,5,15461,979,156,192
kids,1,7,18232,84,4,193
kitchen_utensils,1,19,20057,1525,137,194
other,1,30,24525,1833,183,195
kitchen_utensils,2,8,24409,1857,278,196
furniture,4,95,255,1276,102,197
kids,2,98,16150,1581,63,198
kids,1,13,20568,1439,215,199
clothes,1,54,2425,958,134,200
other,3,42,15009,1755,333,201
clothes,4,9,9810,1509,45,202
other,3,61,18891,980,186,203
other,1,31,15713,883,26,204
other,4,20,2267,844,42,205
kids,1,94,20359,932,27,206
kids,1,33,12728,1676,184,207
furniture,2,11,4211,907,27,208
furniture,1,15,30742,1707,119,209
kitchen_utensils,3,38,16496,1312,118,210
furniture,2,81,31113,193,27,211
kitchen_utensils,1,49,23198,1257,163,212
other,1,41,19374,948,66,213
kids,4,92,3579,472,66,214
kitchen_utensils,2,10,9765,823,24,215
furniture,4,29,14274,347,3,216
furniture,4,86,16432,1188,213,217
kitchen_utensils,3,64,9622,1958,332,218
kids,2,62,21994,1307,117,219
kitchen_utensils,2,60,20376,42,2,220
kids,3,26,3950,1428,114,221
furniture,2,91,7391,1041,156,222
kitchen_utensils,3,40,23498,1697,135,223
kitchen_utensils,2,61,598,993,79,224
kids,1,88,20328,356,64,225
kitchen_utensils,2,18,6266,828,24,226
kitchen_utensils,1,29,21661,1731,0,227
kids,1,85,28075,1093,153,228
clothes,4,18,23858,735,110,229
clothes,2,2,9515,996,19,230
clothes,3,21,20385,1734,0,231
clothes,2,13,30575,677,33,232
other,1,26,16437,1204,84,233
kids,2,9,9049,545,43,234
other,3,89,3543,1133,124,235
clothes,4,90,18478,1115,78,236
kitchen_utensils,2,45,177,590,47,237
furniture,4,75,26337,807,24,238
furniture,3,78,29569,678,27,239
clothes,1,78,20941,809,56,240
kitchen_utensils,3,24,4589,22,3,241
clothes,1,60,19939,1441,57,242
kitchen_utensils,1,60,13999,1431,85,243
kitchen_utensils,2,12,24790,1027,82,244
kids,2,93,30284,207,39,245
clothes,4,97,31471,1905,304,246
kids,4,72,1336,1842,276,247
kids,3,98,16684,1500,105,248
other,1,3,19405,430,64,249
other,3,77,26402,1266,227,250
clothes,3,65,29185,863,86,251
other,3,62,1531,218,13,252
other,1,45,6541,492,54,253
kids,2,5,31443,401,20,254
kitchen_utensils,1,15,4479,1747,0,255
other,3,76,27349,1593,31,256
kids,3,66,2756,121,21,257
furniture,4,25,19810,122,0,258
kids,2,76,28881,12,0,259
furniture,4,99,13888,1140,22,260
other,1,70,4887,752,37,261
clothes,2,4,16936,99,6,262
clothes,4,13,14607,1497,0,263
kitchen_utensils,3,40,27987,483,72,264
kitchen_utensils,1,75,7128,1305,182,265
